dNumb,Published,Department,Judge,Judge4Search,PicFileName,Page,AwardRank,Winner,Winner4Search,Title,SubTitle,WinnerArea,WinnerClub1,WinnerClub2,WinnerClub3,WinnerClub4,Area,Place,DayTime,Year,Month,Day,Season,Hour,Min,TimeZone,Weather,Subject,Composition,Camera,Lens,FocalLength,Exposure,WB,ColorMode,Tripod,TriPodHead,DataOfPhoto,Selection Comments,MapLink,OfficialSite,Logic_Advice,Context_Advice
7093,2007N,,,,NT_037.jpg,52,,三浦　二郎,三浦二郎,水辺のファンタジー,,新潟,日本風景写真協会,,,,新潟県津南町,,2006-05-07 15:00:00,2006,5,7,,15,0,,,林　池　桜　霧　水面,中,ペンタックス645N,FA645 80-160ミリF4.5,160,絞り優先AE･f22(+0.7EV),,,三脚,,フジクロームベルビア,,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E6%BD%9F%E7%9C%8C%E6%B4%A5%E5%8D%97%E7%94%BA%E5%BD%B9%E5%A0%B4,,,
7094,2007N,,,,NT_085.jpg,52,,前川　彰一,前川彰一,やじろべえさん,,東京,写団薬師,,,,千葉県大多喜町,,2006-01-06 07:00:00,2006,1,6,,7,0,,,雪　木　柿　草　木立　光,中,ハッセルブラッド503CW,バリオゴンCF140-280ミリF5.6,280,f22･1/2秒,,,三脚,,フジクロームベルビア,,https://www.google.com/maps/search/?api=1&query=%E5%8D%83%E8%91%89%E7%9C%8C%E5%A4%A7%E5%A4%9A%E5%96%9C%E7%94%BA%E5%BD%B9%E5%A0%B4,,,
7095,2007N,,,,NT_032.jpg,53,,葛谷　輝明,葛谷輝明,春の兆し,,岐阜,春日井フォーカスクラブ,,,,長野県長野市,鏡池,2006-05-02 15:00:00,2006,5,2,,15,0,,,池　雲　陽　映り込み　霧　木々　雪,中　遠,ハッセルブラッド503CW,ディスタゴンCF50ミリF4,50,f22･1/2秒(-0.3EV),,,三脚,,フジクロームベルビア_CPL,,https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E9%87%8E%E7%9C%8C%E9%95%B7%E9%87%8E%E5%B8%82%20%E9%8F%A1%E6%B1%A0,https://www.google.com/search?q=%E9%95%B7%E9%87%8E%E7%9C%8C%E9%95%B7%E9%87%8E%E5%B8%82%20%E9%8F%A1%E6%B1%A0%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
7096,2007N,,,,NT_009.jpg,53,,草苅　幹夫,草苅幹夫,雪溶け待つ棚田,,東京,輝望フォトグラファーズ,,,,新潟県十日町市,松代,2006-05-09 06:30:00,2006,5,9,,6,30,,,霧　雪　棚田　木々,中　遠,ペンタックス645NⅡ,FA645 80-160ミリF4.5,160,絞り優先AE･f22,,,三脚,,フジクロームベルビア100,,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E6%BD%9F%E7%9C%8C%E5%8D%81%E6%97%A5%E7%94%BA%E5%B8%82%20%E6%9D%BE%E4%BB%A3,https://www.google.com/search?q=%E6%96%B0%E6%BD%9F%E7%9C%8C%E5%8D%81%E6%97%A5%E7%94%BA%E5%B8%82%20%E6%9D%BE%E4%BB%A3%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
7097,20151112,Ｓ単写真,山口高志,山口高志,FK_024.jpg,96,最優秀,阿久津　靖,阿久津靖,北風,,埼玉,米美知子写真教室,,,,青森県十和田市,睡蓮沼,2012-10-24 06:00:00,2012,10,24,,6,0,,雪,紅葉　カンバ　アオモリトドマツ,近・中・遠,PENTAX 645NⅡ,FA645 150-300mm F5.6ED[IF},170,f22AE(4秒･-1.8EV),スポット,RVP100,GITZO三脚＋HU,,,,https://www.google.com/maps/search/?api=1&query=%E9%9D%92%E6%A3%AE%E7%9C%8C%E5%8D%81%E5%92%8C%E7%94%B0%E5%B8%82%20%E7%9D%A1%E8%93%AE%E6%B2%BC,https://www.google.com/search?q=%E9%9D%92%E6%A3%AE%E7%9C%8C%E5%8D%81%E5%92%8C%E7%94%B0%E5%B8%82%20%E7%9D%A1%E8%93%AE%E6%B2%BC%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
7098,20151112,Ｓ単写真,山口高志,山口高志,FK_062.jpg,98,優秀,内山　とし子,内山とし子,さざなみに映える,,愛知,,,,,長野県王滝村,自然湖,2005-11-01 08:00:00,2005,11,1,,8,0,,晴,枯木　湖面,近・中・遠,PENTAX 646NⅡ,FA645 150-300mm F5.7ED[IF},171,f11AE(1/8秒･-0.5EV),多分割,RVP100,PL,GITZO三脚,,,https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E9%87%8E%E7%9C%8C%E7%8E%8B%E6%BB%9D%E6%9D%91%20%E8%87%AA%E7%84%B6%E6%B9%96,https://www.google.com/search?q=%E9%95%B7%E9%87%8E%E7%9C%8C%E7%8E%8B%E6%BB%9D%E6%9D%91%20%E8%87%AA%E7%84%B6%E6%B9%96%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
7099,20151112,Ｓ単写真,山口高志,山口高志,FK_036.jpg,99,優秀,山田　康雄,山田康雄,幻惑,,埼玉,チロリン村フォトクラブ,,,,栃木県佐野市,,2004-05-29 16:00:00,2004,5,29,,16,0,,曇,杉,近・中,PENTAX 647NⅡ,FA645 33-50mm F4.5AL,42,f22AE(4秒･-0.5EV),中央平均,RVP100,SLIK三脚＋HUS,,,,https://www.google.com/maps/search/?api=1&query=%E6%A0%83%E6%9C%A8%E7%9C%8C%E4%BD%90%E9%87%8E%E5%B8%82%E5%BD%B9%E6%89%80,,,
7100,20151112,Ｓ単写真,山口高志,山口高志,FK_057.jpg,100,優秀,田中　均,田中均,秋のファッションブーツ,,広島,日本風景写真協会　日本写真家連,,,,広島県安芸太田町,温井ダム湖,2014-11-16 09:00:00,2014,11,16,,9,0,,曇,紅葉　湖,中,PENTAX K-3,DA★50-135mmF2.8ED[IF]SDM,50,f14AE(1/30秒･-2.3EV),中央平均,ISO400,ＷＢ：オート,カラーモード：風景,PL_Velbon三脚_印画紙プリント・四ツ切,,https://www.google.com/maps/search/?api=1&query=%E5%BA%83%E5%B3%B6%E7%9C%8C%E5%AE%89%E8%8A%B8%E5%A4%AA%E7%94%B0%E7%94%BA%20%E6%B8%A9%E4%BA%95%E3%83%80%E3%83%A0%E6%B9%96,https://www.google.com/search?q=%E5%BA%83%E5%B3%B6%E7%9C%8C%E5%AE%89%E8%8A%B8%E5%A4%AA%E7%94%B0%E7%94%BA%20%E6%B8%A9%E4%BA%95%E3%83%80%E3%83%A0%E6%B9%96%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
7101,20151112,Ｓ単写真,山口高志,山口高志,FK_043.jpg,101,優秀,上原　逸郎,上原逸郎,霧の朝,,長野,自然奏フォト,,,,長野県立科町,,2013-10-06 07:00:00,2013,10,6,,7,0,,晴,スギ　光輪,中,Canon EOS 5D MarkⅡ,EF100-400mm F4.5-5.6L IS USM,275,f14AE(1/1600秒･-0.7EV,多分割,ISO400,RAW+JPEG,WB;オート,カラーモード：風景_PL_手持ち_印画紙プリント・四ツ切,,https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E9%87%8E%E7%9C%8C%E7%AB%8B%E7%A7%91%E7%94%BA%E5%BD%B9%E5%A0%B4,,,
7102,20151112,Ｓ単写真,山口高志,山口高志,FK_051.jpg,102,優秀,藤川　豊子,藤川豊子,桜吹雪,,広島,日本風景写真協会,,,,岡山県高梁市,弥高山公園,2014-04-19 06:30:00,2014,4,19,,6,30,,晴,桜　つつじ,中,Canon EOS 6D MarkⅢ,EF24-105mm F4L IS USM,73,f20AE(1/100秒･-0.7EV）,,ISO1600,JPEG,WB；太陽光,カラーモード：スタンダード_PL_Velbon三脚+Kenko雲台_印画紙プリント・四ツ切,,https://www.google.com/maps/search/?api=1&query=%E5%B2%A1%E5%B1%B1%E7%9C%8C%E9%AB%98%E6%A2%81%E5%B8%82%20%E5%BC%A5%E9%AB%98%E5%B1%B1%E5%85%AC%E5%9C%92,https://www.google.com/search?q=%E5%B2%A1%E5%B1%B1%E7%9C%8C%E9%AB%98%E6%A2%81%E5%B8%82%20%E5%BC%A5%E9%AB%98%E5%B1%B1%E5%85%AC%E5%9C%92%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
7103,20151112,Ｓ単写真,山口高志,山口高志,FK_074.jpg,103,優秀,渡辺　学,渡辺学,初夏流麗,,島根,,,,,島根県大田市,裏匹見峡,2011-05-14 05:00:00,2011,5,14,,5,0,,晴,藤　渓流,近・中,PENTAX K10D,TAMRON AF 28-300mm F3.5-6.3 XR Di LD [IF,34,６秒AE（f16 -1.7EV),多分割,ISO200,JPEG,WB:オート,カラーモード：鮮やか_PL_Velbon三脚_印画紙プリント・四ツ切,,https://www.google.com/maps/search/?api=1&query=%E5%B3%B6%E6%A0%B9%E7%9C%8C%E5%A4%A7%E7%94%B0%E5%B8%82%20%E8%A3%8F%E5%8C%B9%E8%A6%8B%E5%B3%A1,https://www.google.com/search?q=%E5%B3%B6%E6%A0%B9%E7%9C%8C%E5%A4%A7%E7%94%B0%E5%B8%82%20%E8%A3%8F%E5%8C%B9%E8%A6%8B%E5%B3%A1%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
7104,20151112,Ｓ単写真,山口高志,山口高志,FK_069.jpg,104,優秀,泉田　昌和,泉田昌和,深山の花,,福島,フォト無限,,,,福島県北塩原村裏磐梯,,2015-05-25 08:00:00,2015,5,25,,8,0,,晴,クリンソウ　渓流,近・中・遠,Nikon D800,SIGMA 17-35mm F2.8-4 EX DG HSM,17,f16AE(1秒 -1.7EV),多分割,ISO100,RAW（WB4550,カラーモード：スタン,GITZO三脚＋Manfrotto雲台_EPSON PX-7V_EPSON写真用意クリスピア　四ツ切,,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B3%B6%E7%9C%8C%E5%8C%97%E5%A1%A9%E5%8E%9F%E6%9D%91%E8%A3%8F%E7%A3%90%E6%A2%AF,,,
7105,20151112,Ｓ単写真,山口高志,山口高志,FK_033.jpg,105,準優秀,小浦　文子,小浦文子,清流の妖精達,,滋賀,日本風景写真協会　自然奏フォト,,,,兵庫県新温泉町,田君川,2015-05-22 14:00:00,2015,5,22,,14,0,,晴,バイカモ　清流,近・中・遠,Canon EOS-1V,EF24-70mm F2.8L USM,24,f16AE(-0.3EV),多分割,RVP50,PL,GITZO三脚＋HU,,,https://www.google.com/maps/search/?api=1&query=%E5%85%B5%E5%BA%AB%E7%9C%8C%E6%96%B0%E6%B8%A9%E6%B3%89%E7%94%BA%20%E7%94%B0%E5%90%9B%E5%B7%9D,https://www.google.com/search?q=%E5%85%B5%E5%BA%AB%E7%9C%8C%E6%96%B0%E6%B8%A9%E6%B3%89%E7%94%BA%20%E7%94%B0%E5%90%9B%E5%B7%9D%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
7106,20151112,Ｓ単写真,山口高志,山口高志,FK_032.jpg,105,準優秀,渡辺　成雄,渡辺成雄,潤いの森,,岡山,,,,,兵庫県香美町柤岡,たじま高原植物園,2015-05-04 15:00:00,2015,5,4,,15,0,,雨,千年カツラ,近・中,Canon EOS 5D MarkⅡ,EF24-70mm F2.8L USM,40,f22 30秒,多分割,ISO100,RAW（WB:太陽光,カラーモード：スタン,PL_GITZO三脚＋HUSKY雲台_Canon PIXUS Pro9000 MarkⅡ_PICTORICOPRO　ﾌｫﾄﾍﾟｰﾊﾟｰ A3,,https://www.google.com/maps/search/?api=1&query=%E5%85%B5%E5%BA%AB%E7%9C%8C%E9%A6%99%E7%BE%8E%E7%94%BA%E6%9F%A4%E5%B2%A1%20%E3%81%9F%E3%81%98%E3%81%BE%E9%AB%98%E5%8E%9F%E6%A4%8D%E7%89%A9%E5%9C%92,https://www.google.com/search?q=%E5%85%B5%E5%BA%AB%E7%9C%8C%E9%A6%99%E7%BE%8E%E7%94%BA%E6%9F%A4%E5%B2%A1%20%E3%81%9F%E3%81%98%E3%81%BE%E9%AB%98%E5%8E%9F%E6%A4%8D%E7%89%A9%E5%9C%92%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
7107,20151112,Ｓ単写真,山口高志,山口高志,FK_007.jpg,106,準優秀,白井　良治,白井良治,ニューフェース,,千葉,千葉読売写真クラブ,,,,千葉県印西市,,2015-05-08 06:00:00,2015,5,8,,6,0,,晴,竹,近,Canon EOS 7D,EF70-200mm　F2.8L IS USM,200,f5.6AE(1/80秒 -0.7EV),多分割,ISO200,JPEG,ＷＢ：オート,カラーモード：鮮やか_SLIK三脚＋Velbon雲台_Canon PIXUS ip 8730_EPSON写真用意クリスピア　四ツ切,,https://www.google.com/maps/search/?api=1&query=%E5%8D%83%E8%91%89%E7%9C%8C%E5%8D%B0%E8%A5%BF%E5%B8%82%E5%BD%B9%E6%89%80,,,
7108,20151112,Ｓ単写真,山口高志,山口高志,FK_016.jpg,106,準優秀,斉木　稔,斉木稔,氷上のピエロ,,群馬,日本風景写真協会　写団シャドー,,,,群馬県高崎市,榛名湖,2015-01-05 08:00:00,2015,1,5,,8,0,,晴,湖面　氷,近,Nikon D750,NIKKOR 28-300mm F3.5-5.6G ED VR,62,f16AE(1/320秒 -0.3EV),多分割,ISO400,RAW,ＷＢ：晴天,カラーモード：スタンダード_Velbon三脚_印画紙プリント　四ツ切,,https://www.google.com/maps/search/?api=1&query=%E7%BE%A4%E9%A6%AC%E7%9C%8C%E9%AB%98%E5%B4%8E%E5%B8%82%20%E6%A6%9B%E5%90%8D%E6%B9%96,https://www.google.com/search?q=%E7%BE%A4%E9%A6%AC%E7%9C%8C%E9%AB%98%E5%B4%8E%E5%B8%82%20%E6%A6%9B%E5%90%8D%E6%B9%96%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
7109,20151112,Ｓ単写真,山口高志,山口高志,FK_019.jpg,107,準優秀,岩下　信昭,岩下信昭,時計,,兵庫,日本風景写真協会　グルッペ［輪,,,,兵庫県三田市,,2013-11-27 09:00:00,2013,11,27,,9,0,,曇,オニバス　スイレン,近,PENTAX67Ⅱ,67　ﾏｸﾛ　135mm　F4,135,f22AE,多分割,RVP100,PL,HUSKY三脚,,,https://www.google.com/maps/search/?api=1&query=%E5%85%B5%E5%BA%AB%E7%9C%8C%E4%B8%89%E7%94%B0%E5%B8%82%E5%BD%B9%E6%89%80,,,
7110,20151112,Ｓ単写真,山口高志,山口高志,FK_011.jpg,107,準優秀,村上　勲,村上勲,湖沼模様,,栃木,矢板フォトクラブ,,,,福島県下郷町,観音沼,2013-10-20 07:00:00,2013,10,20,,7,0,,雨,湖面　茎葉,近・中,FUJIFILM X-20,FUJINON SUPER EBC 7.1-28.4mm F2-2.8,23,f2.8AE(1/160秒）,多分割,ISO250,JPEG,ＷＢ：太陽光,カラーモード：スタンダード_手持ち_印画紙プリント　四ツ切,,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B3%B6%E7%9C%8C%E4%B8%8B%E9%83%B7%E7%94%BA%20%E8%A6%B3%E9%9F%B3%E6%B2%BC,https://www.google.com/search?q=%E7%A6%8F%E5%B3%B6%E7%9C%8C%E4%B8%8B%E9%83%B7%E7%94%BA%20%E8%A6%B3%E9%9F%B3%E6%B2%BC%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
7111,20151112,Ｓ単写真,山口高志,山口高志,FK_034.jpg,108,準優秀,たはら　芳明,たはら芳明,賑わいの湿原,,埼玉,写団渡良瀬,,,,栃木県那須塩原市,ヨシ沼,2014-10-25 07:00:00,2014,10,25,,7,0,,晴,枯葉　紅葉　草原,近・中・遠,PENTAX 645NⅡ,A645 34mm F3.5,35,f22AE(3秒 -0.3EV),多分割,RVP100,PL+ハーフＮＤ,Velbon三脚,,,https://www.google.com/maps/search/?api=1&query=%E6%A0%83%E6%9C%A8%E7%9C%8C%E9%82%A3%E9%A0%88%E5%A1%A9%E5%8E%9F%E5%B8%82%20%E3%83%A8%E3%82%B7%E6%B2%BC,https://www.google.com/search?q=%E6%A0%83%E6%9C%A8%E7%9C%8C%E9%82%A3%E9%A0%88%E5%A1%A9%E5%8E%9F%E5%B8%82%20%E3%83%A8%E3%82%B7%E6%B2%BC%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
7112,20151112,Ｓ単写真,山口高志,山口高志,FK_020.jpg,108,準優秀,太田　裕紀子,太田裕紀子,秋流されて,,東京,フォトクラブ遊　さくら岐阜写真,,,,岐阜県高山市上宝町,,2014-10-24 10:00:00,2014,10,24,,10,0,,晴,渓流　落葉,近・中・遠,PENTAX 645NⅡ,FA645 33-55mm F4.5AL,33,f16AE(4秒　-0.7EV),中央平均,RVP100,PL,SLIK三脚,,,https://www.google.com/maps/search/?api=1&query=%E5%B2%90%E9%98%9C%E7%9C%8C%E9%AB%98%E5%B1%B1%E5%B8%82%E4%B8%8A%E5%AE%9D%E7%94%BA%E5%BD%B9%E5%A0%B4,,,
7113,20151112,Ｓ単写真,山口高志,山口高志,FK_017.jpg,109,準優秀,大谷　浩通,大谷浩通,初雪,,奈良,奈良中判写真クラブ,,,,奈良県吉野町,,2013-12-27 11:00:00,2013,12,27,,11,0,,曇,杉,中・遠,PENTAX 645NⅡ,FA645 80-160mm F4.5,80,f22AE(1秒　-0.5EV),多分割,RVP50,PL,GITZO三脚＋HU,,,https://www.google.com/maps/search/?api=1&query=%E5%A5%88%E8%89%AF%E7%9C%8C%E5%90%89%E9%87%8E%E7%94%BA%E5%BD%B9%E5%A0%B4,,,
7114,20151112,Ｓ単写真,山口高志,山口高志,FK_035.jpg,109,準優秀,佐々木　康照,佐々木康照,モンスター,,宮城,東北風景写真家協会　倶楽部64,,,,福島県北塩原村裏磐梯,裏磐梯長峰放水路,2015-02-15 15:00:00,2015,2,15,,15,0,,曇,枯枝　湖面　雪,近・中,PENTAX 645NⅡ,FA645 80-160mm F4.5,117,f32AE(1.5秒）,多分割,RVP100,PL＋MC C4,HUSKY三脚,,,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B3%B6%E7%9C%8C%E5%8C%97%E5%A1%A9%E5%8E%9F%E6%9D%91%E8%A3%8F%E7%A3%90%E6%A2%AF%20%E8%A3%8F%E7%A3%90%E6%A2%AF%E9%95%B7%E5%B3%B0%E6%94%BE%E6%B0%B4%E8%B7%AF,https://www.google.com/search?q=%E7%A6%8F%E5%B3%B6%E7%9C%8C%E5%8C%97%E5%A1%A9%E5%8E%9F%E6%9D%91%E8%A3%8F%E7%A3%90%E6%A2%AF%20%E8%A3%8F%E7%A3%90%E6%A2%AF%E9%95%B7%E5%B3%B0%E6%94%BE%E6%B0%B4%E8%B7%AF%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
7115,20151112,Ｓ単写真,山口高志,山口高志,FK_013.jpg,110,準優秀,坂下　茂夫,坂下茂夫,雪煙,,三重,日本風景写真協会,,,,三重県いなべ市,八幡神社,2011-01-16 09:00:00,2011,1,16,,9,0,,雪,杉　雪　神社,中・遠,Canon EOS 5D MarkⅡ,EF24-105mm F4L IS USM,24,f22AE(1/15秒),多分割,ISO200,RAW,WB:太陽光,カラーモード：風景_Velbon三脚_Canon PIXUS Pro9000 MarkⅡ_Canon写真用紙光沢プロ　プラチナグレード・Ａ４,,https://www.google.com/maps/search/?api=1&query=%E4%B8%89%E9%87%8D%E7%9C%8C%E3%81%84%E3%81%AA%E3%81%B9%E5%B8%82%20%E5%85%AB%E5%B9%A1%E7%A5%9E%E7%A4%BE,https://www.google.com/search?q=%E4%B8%89%E9%87%8D%E7%9C%8C%E3%81%84%E3%81%AA%E3%81%B9%E5%B8%82%20%E5%85%AB%E5%B9%A1%E7%A5%9E%E7%A4%BE%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
7116,20151112,Ｓ単写真,山口高志,山口高志,FK_010.jpg,110,準優秀,高橋　清,高橋清,冬風の舞,,東京,ＫＪ須山会　日本風景写真協会,,,,北海道釧路市,タンチョウ観察センター,2015-02-15 14:00:00,2015,2,15,,14,0,,雪　曇,タンチョウ　エゾマツ,中・遠,Canon EOS 6D MarkⅢ,EF600mm F4L USM ×1.4,840,1/2000秒　AE(f5.6),多分割,ISO400,JPEG,WB:オート,カラーモード：スタンダード_GITZO三脚＋sachtler雲台_EPSON PX-5DⅡ_EPSON写真用紙クリスピア・四ツ切,,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E9%87%A7%E8%B7%AF%E5%B8%82%20%E3%82%BF%E3%83%B3%E3%83%81%E3%83%A7%E3%82%A6%E8%A6%B3%E5%AF%9F%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,https://www.google.com/search?q=%E5%8C%97%E6%B5%B7%E9%81%93%E9%87%A7%E8%B7%AF%E5%B8%82%20%E3%82%BF%E3%83%B3%E3%83%81%E3%83%A7%E3%82%A6%E8%A6%B3%E5%AF%9F%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
7117,20151112,Ｓ単写真,山口高志,山口高志,FK_030.jpg,111,準優秀,高橋　佳美,高橋佳美,黄昏の丘,,東京,写団薬師,,,,宮崎県串間市,都井岬,2015-03-14 17:00:00,2015,3,14,,17,0,,晴,馬　岬　海岸　海,中・遠,Nikon D810,AF-S NIKKOR 28-300mm F3.5-5.6G ED VR,28,f11AE(1/6400秒　+1EV）,多分割,ISO500,RAW+JPEG,WB:太陽光,カラーモード：スタンダード_ハーフND_Velbon三脚_EPSON PX-5VⅡ_PICTORICO PROセミグロスペーパー・Ａ４,,https://www.google.com/maps/search/?api=1&query=%E5%AE%AE%E5%B4%8E%E7%9C%8C%E4%B8%B2%E9%96%93%E5%B8%82%20%E9%83%BD%E4%BA%95%E5%B2%AC,https://www.google.com/search?q=%E5%AE%AE%E5%B4%8E%E7%9C%8C%E4%B8%B2%E9%96%93%E5%B8%82%20%E9%83%BD%E4%BA%95%E5%B2%AC%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
7118,20151112,Ｓ単写真,山口高志,山口高志,FK_018.jpg,111,準優秀,阿部　和江,阿部和江,冬光芒,,神奈川,写団薬師,,,,山梨県忍野村,鐘山の滝,2011-12-18 07:00:00,2011,12,18,,7,0,,晴,滝　霧氷,中,PENTAX 645NⅡ,FA645 150-300mm F5.6ED[IF},200,f32AE(1/2秒　+1EV）,多分割,RVP100,,,,,https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E6%A2%A8%E7%9C%8C%E5%BF%8D%E9%87%8E%E6%9D%91%20%E9%90%98%E5%B1%B1%E3%81%AE%E6%BB%9D,https://www.google.com/search?q=%E5%B1%B1%E6%A2%A8%E7%9C%8C%E5%BF%8D%E9%87%8E%E6%9D%91%20%E9%90%98%E5%B1%B1%E3%81%AE%E6%BB%9D%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
7119,20151112,Ｓ単写真,山口高志,山口高志,FK_029.jpg,112,準優秀,阿部　智子,阿部智子,冬麗（うらら）,,栃木,写団渡良瀬,,,,栃木県鹿沼市,,2013-01-20 10:30:00,2013,1,20,,10,30,,晴,竹林,中・遠,PENTAX 649N,FA645 80-160mm F4.5,90,f22AE(1/3秒),多分割,RVP100,PL,Velbon三脚+H,,,https://www.google.com/maps/search/?api=1&query=%E6%A0%83%E6%9C%A8%E7%9C%8C%E9%B9%BF%E6%B2%BC%E5%B8%82%E5%BD%B9%E6%89%80,,,
7120,20151112,Ｓ単写真,山口高志,山口高志,FK_021.jpg,112,準優秀,奥村　克己,奥村克己,銀盤に舞う,,愛知,春日井フォーカスクラブ,,,,岐阜県飛騨市,池が原湿原,2015-05-02 06:30:00,2015,5,2,,6,30,,晴,ミズバショウ,中・遠,PENTAX 645NⅡ,FA645 80-160mm F4.5,160,f32AE(1/2秒 -0.5EV),多分割,RVP100,GIZTO三脚,,,,https://www.google.com/maps/search/?api=1&query=%E5%B2%90%E9%98%9C%E7%9C%8C%E9%A3%9B%E9%A8%A8%E5%B8%82%20%E6%B1%A0%E3%81%8C%E5%8E%9F%E6%B9%BF%E5%8E%9F,https://www.google.com/search?q=%E5%B2%90%E9%98%9C%E7%9C%8C%E9%A3%9B%E9%A8%A8%E5%B8%82%20%E6%B1%A0%E3%81%8C%E5%8E%9F%E6%B9%BF%E5%8E%9F%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
7121,20151112,Ｓ単写真,山口高志,山口高志,FK_031.jpg,113,準優秀,亀岡　芳雄,亀岡芳雄,静寂,,福島,会津野写真クラブ　大津塾,,,,山形県飯豊町,白川湖,2015-05-03 05:00:00,2015,5,3,,5,0,,晴,タチヤナギ　湖沼,中・遠,OLYMPUS E-M1,M.ZUIKO DIGITAL ED 12-40mm F2.8 PRO,40,f11 1/10秒,,ISO400,JPEG,WB:5300K,カラーモード：スタンダード_GITZO三脚+Markins雲台_Canon PIXUS PRO-100S_EPSON写真用紙クリスピア・Ａ４,,https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E5%BD%A2%E7%9C%8C%E9%A3%AF%E8%B1%8A%E7%94%BA%20%E7%99%BD%E5%B7%9D%E6%B9%96,https://www.google.com/search?q=%E5%B1%B1%E5%BD%A2%E7%9C%8C%E9%A3%AF%E8%B1%8A%E7%94%BA%20%E7%99%BD%E5%B7%9D%E6%B9%96%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
7122,20151112,Ｓ単写真,山口高志,山口高志,FK_075.jpg,113,準優秀,三浦　裕之,三浦裕之,麦穂薫る,,茨城,写団薬師,,,,茨城県筑西市,中上野,2014-05-03 05:00:00,2014,5,3,,5,0,,晴,麦穂,近・中・遠,PENTAX 645NⅡ,FA645 33-50mm F4.5AL,36,f19AE(4秒 -0.3EV),多分割,RVP100,ハーフＮＤ,Velbon三脚＋M,,,https://www.google.com/maps/search/?api=1&query=%E8%8C%A8%E5%9F%8E%E7%9C%8C%E7%AD%91%E8%A5%BF%E5%B8%82%20%E4%B8%AD%E4%B8%8A%E9%87%8E,https://www.google.com/search?q=%E8%8C%A8%E5%9F%8E%E7%9C%8C%E7%AD%91%E8%A5%BF%E5%B8%82%20%E4%B8%AD%E4%B8%8A%E9%87%8E%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
7123,20151112,K組写真,辰野清,辰野清,FK_001.jpg,114,最優秀,木村　隆,木村隆,農のかたわら,心の肖像,奈良,,,,,奈良県香芝市,,2015-04-02 06:00:00,2015,4,2,,6,0,,晴,桜　田,中・遠,HASSELBLAD 503CW,Sonner CF250mm F5.6,250,f22 1/2 1/2秒,,RVP100,HUSKEY三脚,,,,https://www.google.com/maps/search/?api=1&query=%E5%A5%88%E8%89%AF%E7%9C%8C%E9%A6%99%E8%8A%9D%E5%B8%82%E5%BD%B9%E6%89%80,,,
7124,20151112,K組写真,辰野清,辰野清,FK_002.jpg,115,最優秀,木村　隆,木村隆,農のかたわら,実る地に生きる,奈良,,,,,奈良県香芝市,,2015-08-30 06:00:00,2015,8,30,,6,0,,晴,苗　蜘蛛の巣,近,HASSELBLAD 503CW,Sonner CF250mm F5.6,250,f5.6 1/60秒,,RVP100,HUSKEY三脚,,,,https://www.google.com/maps/search/?api=1&query=%E5%A5%88%E8%89%AF%E7%9C%8C%E9%A6%99%E8%8A%9D%E5%B8%82%E5%BD%B9%E6%89%80,,,
